% Model,CFxSimEIS.mph
% Version,COMSOL 5.6.0.401
% Date,"Nov 8 2021, 13:49"
% Table,Table 3 - Global Evaluation 1
% sigma_CFx (S/m),i0_an (A/m^2),freq (Hz),Z (Ω*m^2)
0.02,100,10,0.026082772424291967+1.0589272890265733E-5i
0.02,100,17.78279410038923,0.02608230155831191+7.506128433460771E-6i
0.02,100,31.622776601683793,0.02608184427987428+6.622076730789022E-6i
0.02,100,56.23413251903491,0.026081338090389497+7.582910054206578E-6i
0.02,100,100,0.026080721615124338+1.0699864726082377E-5i
0.02,100,177.82794100389228,0.02607974830210381+1.705337294626321E-5i
0.02,100,316.22776601683796,0.02607752644004683+2.8774126259914412E-5i
0.02,100,562.341325190349,0.026071221993892245+4.914115439074435E-5i
0.02,100,1000,0.026053312126077078+8.087566963187469E-5i
0.02,100,1778.2794100389228,0.026010139200045034+1.1775064614339159E-4i
0.02,100,3162.2776601683795,0.025938758899106917+1.334216408654593E-4i
0.02,100,5623.413251903491,0.02587170628502724+1.1053048022396223E-4i
0.02,100,10000,0.02583496228279584+7.309651747613088E-5i
0.02,100,17782.794100389227,0.025820491082237513+4.352744531138634E-5i
0.02,100,31622.776601683792,0.02581555297228355+2.494215428428699E-5i
0.02,100,56234.13251903491,0.025813952115784362+1.4110377801905627E-5i
0.02,100,100000,0.025813441846215084+7.947904453385884E-6i
0.02,100,177827.94100389228,0.025813280077156688+4.4698319746414675E-6i
0.02,100,316227.7660168379,0.025813228884854596+2.4930752675645823E-6i
0.02,100,562341.3251903491,0.025813212682184623+1.4097939388135384E-6i
0.02,100,1000000,0.025813113010201828+7.866577911569441E-7i
0.2,10,0.001,0.01602717627380587+0.0017923150159519468i
0.2,10,0.0017782794100389228,0.015566036076341407+0.0013644991306631048i
0.2,10,0.0031622776601683794,0.015207913441912089+0.0010388926938129097i
0.2,10,0.005623413251903491,0.014937556000592113+7.825710441719317E-4i
0.2,10,0.01,0.014739654843328402+5.862711815384764E-4i
0.2,10,0.01778279410038923,0.014593494213552953+4.404120175008769E-4i
0.2,10,0.03162277660168379,0.014483454972198974+3.325985168248212E-4i
0.2,10,0.05623413251903491,0.0143998894741834+2.5297791393710914E-4i
0.2,10,0.1,0.014335280316338048+1.944787058442002E-4i
0.2,10,0.1778279410038923,0.014284271281089665+1.5077652967826195E-4i
0.2,10,0.31622776601683794,0.014244232883348456+1.171728395855817E-4i
0.2,10,0.5623413251903491,0.014214068949992475+9.15866842921826E-5i
0.2,10,1,0.014191991947378031+7.439265630303786E-5i
0.2,10,1.7782794100389228,0.014174977925834172+6.582991082154191E-5i
0.2,10,3.1622776601683795,0.014161184317586686+6.598128986864934E-5i
0.2,10,5.623413251903491,0.01415033858001486+7.727970633245522E-5i
0.2,10,10,0.014142141719922046+1.0726287819850089E-4i
0.2,10,17.78279410038923,0.014132707882638743+1.7002010959766336E-4i
0.2,10,31.622776601683793,0.014111006381572592+2.8749300756279235E-4i
0.2,10,56.23413251903491,0.014047940052180817+4.916886621401537E-4i
0.2,10,100,0.013868468924952354+8.093267814379535E-4i
0.2,10,177.82794100389228,0.013436329913928187+0.0011780425045147373i
0.2,10,316.22776601683796,0.012722308899482846+0.0013345483499427615i
0.2,10,562.341325190349,0.012051733962784038+0.0011054753745315584i
0.2,10,1000,0.011684294177923186+7.31048299387684E-4i
0.2,10,1778.2794100389228,0.011539585502420926+4.35326076372956E-4i
0.2,10,3162.2776601683795,0.011490205920562106+2.4945087289344456E-4i
0.2,10,5623.413251903491,0.011474197880391177+1.4112403788765868E-4i
0.2,10,10000,0.011469095341930281+7.951182772901736E-5i
0.2,10,17782.794100389227,0.011467477708851682+4.473986586507565E-5i
0.2,10,31622.776601683792,0.011466965761966253+2.5163541940826392E-5i
0.2,10,56234.13251903491,0.01146680382620445+1.4151775084031229E-5i
0.2,10,100000,0.011466752613155487+7.959166658164033E-6i
0.2,10,177827.94100389228,0.011466736423579553+4.471639104074324E-6i
0.2,10,316227.7660168379,0.01146673129625038+2.520540946483186E-6i
0.2,10,562341.3251903491,0.011466718908426293+1.4183799357135558E-6i
0.2,10,1000000,0.011466726293205715+7.886845728179973E-7i
0.2,20,0.001,0.014690843915316597+0.0017923079199992998i
0.2,20,0.0017782794100389228,0.01422970385364397+0.0013644866211497987i
0.2,20,0.0031622776601683794,0.01387158141626489+0.0010388706857683812i
0.2,20,0.005623413251903491,0.01360122417264796+7.825322440228457E-4i
0.2,20,0.01,0.013403323223213569+5.862025268126775E-4i
0.2,20,0.01778279410038923,0.013257162909875162+4.40290305718992E-4i
0.2,20,0.03162277660168379,0.013147124192993279+3.3238261930055283E-4i
0.2,20,0.05623413251903491,0.01306355955538597+2.5259480813955655E-4i
0.2,20,0.1,0.01299895190018248+1.9379872063841837E-4i
0.2,20,0.1778279410038923,0.012947945628404196+1.4956945299745612E-4i
0.2,20,0.31622776601683794,0.012907912536985613+1.1502992612219683E-4i
0.2,20,0.5623413251903491,0.012877759487423871+8.778190225189332E-5i
0.2,20,1,0.0128557075484562+6.763567379016472E-5i
0.2,20,1.7782794100389228,0.012838759552802045+5.3826814878265135E-5i
0.2,20,3.1622776601683795,0.012825157474695046+4.465452497451038E-5i
0.2,20,5.623413251903491,0.012814896005247196+3.9386096782501405E-5i
0.2,20,10,0.012808519991378236+3.9966932365033476E-5i
0.2,20,17.78279410038923,0.012804791700807037+5.074667889020078E-5i
0.2,20,31.622776601683793,0.0128008841453203+7.74657925155135E-5i
0.2,20,56.23413251903491,0.012792076711498259+1.2928685364800054E-4i
