% Model,CFxSimEIS.mph
% Version,COMSOL 5.6.0.401
% Date,"Nov 8 2021, 13:49"
% Table,Table 3 - Global Evaluation 1
% sigma_CFx (S/m),i0_an (A/m^2),freq (Hz),Z (Ω*m^2)
20,20,316.22776601683796,0.002766069909178015+5.549242117619252E-4i
20,20,562.341325190349,0.0024301171009535757+6.677291500764172E-4i
20,20,1000,0.00207365058643763+5.877476260223847E-4i
20,20,1778.2794100389228,0.001858640624497196+4.025119448666281E-4i
20,20,3162.2776601683795,0.0017696120841299877+2.430314547071587E-4i
20,20,5623.413251903491,0.0017387582384851708+1.3997998520607127E-4i
20,20,10000,0.001728664689589522+7.931757370732985E-5i
20,20,17782.794100389227,0.00172544065268894+4.471151158394546E-5i
20,20,31622.776601683792,0.0017244178699181189+2.516240109616592E-5i
20,20,56234.13251903491,0.0017240941119054567+1.4153266788358557E-5i
20,20,100000,0.0017239916971358107+7.959627505484011E-6i
20,20,177827.94100389228,0.001723959307446608+4.4762318847788735E-6i
20,20,316227.7660168379,0.0017239490653983471+2.517099252999215E-6i
20,20,562341.3251903491,0.0017239458269149828+1.4150951743270194E-6i
20,20,1000000,0.0017239448017788872+7.961692590293914E-7i
20,100,0.001,0.004608161986469745+0.002587961701050925i
20,100,0.0017782794100389228,0.003957069298405685+0.0019421611957461838i
20,100,0.0031622776601683794,0.0034703184815931924+0.0014567468134165473i
20,100,0.005623413251903491,0.00310581600750567+0.0010931016226944494i
20,100,0.01,0.0028321947745944577+8.208040415588836E-4i
20,100,0.01778279410038923,0.002626592777714277+6.168985026036489E-4i
20,100,0.03162277660168379,0.0024718522923601583+4.6432680196599143E-4i
20,100,0.05623413251903491,0.002355081053690531+3.5022765118726946E-4i
20,100,0.1,0.002266623426902881+2.6489433218640095E-4i
20,100,0.1778279410038923,0.0021993218089152674+2.009549344649611E-4i
20,100,0.31622776601683794,0.0021480269009200976+1.5288665824334544E-4i
20,100,0.5623413251903491,0.002109080334750166+1.1688421303795026E-4i
20,100,1,0.002079306033781582+9.069320534478991E-5i
20,100,1.7782794100389228,0.0020551317429414943+7.21254153042952E-5i
20,100,3.1622776601683795,0.0020342437874399477+5.780593154924302E-5i
20,100,5.623413251903491,0.002016651671618795+4.4882434581224524E-5i
20,100,10,0.0020038301050283986+3.2292353585586864E-5i
20,100,17.78279410038923,0.001996732508353498+2.1686862727680333E-5i
20,100,31.622776601683793,0.001993624440018091+1.4976905512697406E-5i
20,100,56.23413251903491,0.0019922725280030295+1.2273100957099264E-5i
20,100,100,0.0019914500336659967+1.3277219909938268E-5i
20,100,177.82794100389228,0.0019904587075596693+1.846400539597434E-5i
20,100,316.22776601683796,0.0019882510647423576+2.955307366585027E-5i
20,100,562.341325190349,0.0019819557960131244+4.957563611258034E-5i
20,100,1000,0.0019640495223344407+8.111933241638471E-5i
20,100,1778.2794100389228,0.0019208778050792475+1.1788750552999142E-4i
20,100,3162.2776601683795,0.0018495556291967478+1.3348321454985466E-4i
20,100,5623.413251903491,0.0017824453724973723+1.1057401065184672E-4i
20,100,10000,0.0017457014048214232+7.312061967095512E-5i
20,100,17782.794100389227,0.001731230208941319+4.354171122563632E-5i
20,100,31622.776601683792,0.0017262921033084+2.495025153280826E-5i
20,100,56234.13251903491,0.0017246912477382657+1.4115321793096062E-5i
20,100,100000,0.0017241809774653392+7.952801879761627E-6i
20,100,177827.94100389228,0.0017240192087977933+4.474870311280655E-6i
20,100,316227.7660168379,0.0017239680121356334+2.516863897085318E-6i
20,100,562341.3251903491,0.0017239518180617562+1.4155139975468187E-6i
20,100,1000000,0.001723946696342963+7.964515946220401E-7i
